subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
CONTROL_TS_9B,3,test,R,92,4,856,591,P,0,NONE,0,1,454275,1450
CONTROL_TS_9B,3,test,R,93,4,856,591,R,1,820|549|1|<pressed>,1,1,455775,566
CONTROL_TS_9B,3,test,R,94,1,656,391,R,1,820|549|1|<pressed>,1,1,457275,428
CONTROL_TS_9B,3,test,R,95,2,856,391,R,1,820|549|1|<pressed>,1,1,458775,395
CONTROL_TS_9B,3,test,R,96,4,856,591,P,0,NONE,0,1,460275,1450
CONTROL_TS_9B,3,test,R,97,1,656,391,R,1,820|549|1|<pressed>,1,1,461774,350
CONTROL_TS_9B,3,test,R,98,3,656,591,P,0,820|549|1|<pressed>,1,0,463274,334
CONTROL_TS_9B,3,test,R,99,2,856,391,R,1,820|548|1|<pressed>,1,1,464774,429
CONTROL_TS_9B,3,test,R,100,1,656,391,R,1,820|548|1|<pressed>,1,1,466275,528
CONTROL_TS_9B,3,test,R,101,4,856,591,R,1,820|547|1|<pressed>,1,1,467775,445
CONTROL_TS_9B,3,test,R,102,4,856,591,R,1,820|547|1|<pressed>,1,1,469276,461
CONTROL_TS_9B,3,test,R,103,4,856,591,R,1,820|547|1|<pressed>,1,1,470775,345
CONTROL_TS_9B,3,test,R,104,2,856,391,P,0,820|547|1|<pressed>,1,0,472276,311
CONTROL_TS_9B,3,test,R,105,4,856,591,R,1,820|547|1|<pressed>,1,1,473775,361
CONTROL_TS_9B,3,test,R,106,2,856,391,P,0,NONE,0,1,475275,1450
CONTROL_TS_9B,3,test,R,107,4,856,591,P,0,NONE,0,1,476775,1450
CONTROL_TS_9B,3,test,R,108,3,656,591,R,1,820|547|1|<pressed>,1,1,478274,396
CONTROL_TS_9B,3,test,R,109,1,656,391,R,1,820|547|1|<pressed>,1,1,479774,496
CONTROL_TS_9B,3,test,R,110,1,656,391,R,1,820|547|1|<pressed>,1,1,481275,383
CONTROL_TS_9B,3,test,R,111,2,856,391,P,0,NONE,0,1,482775,1450
CONTROL_TS_9B,3,test,R,112,4,856,591,R,1,820|547|1|<pressed>,1,1,484274,536
CONTROL_TS_9B,3,test,R,113,3,656,591,P,0,NONE,0,1,485775,1450
CONTROL_TS_9B,3,test,R,114,3,656,591,R,1,820|546|1|<pressed>,1,1,487274,350
CONTROL_TS_9B,3,test,R,115,4,856,591,R,1,820|546|1|<pressed>,1,1,488775,361
CONTROL_TS_9B,3,test,R,116,2,856,391,P,0,NONE,0,1,490275,1450
CONTROL_TS_9B,3,test,R,117,3,656,591,R,1,820|546|1|<pressed>,1,1,491774,446
CONTROL_TS_9B,3,test,R,118,4,856,591,P,0,NONE,0,1,493275,1450
CONTROL_TS_9B,3,test,R,119,1,656,391,R,1,820|546|1|<pressed>,1,1,494774,312
CONTROL_TS_9B,3,test,R,120,3,656,591,R,1,820|546|1|<pressed>,1,1,496276,444
CONTROL_TS_9B,3,test,R,121,4,856,591,R,1,820|546|1|<pressed>,1,1,497774,413
CONTROL_TS_9B,3,test,R,122,4,856,591,R,1,820|546|1|<pressed>,1,1,499275,412
CONTROL_TS_9B,3,test,R,123,1,656,391,R,1,820|546|1|<pressed>,1,1,500775,366
CONTROL_TS_9B,3,test,R,124,4,856,591,R,1,820|546|1|<pressed>,1,1,502274,384
CONTROL_TS_9B,3,test,R,125,2,856,391,R,1,820|546|1|<pressed>,1,1,503775,445
CONTROL_TS_9B,3,test,R,126,2,856,391,P,0,NONE,0,1,505275,1451
CONTROL_TS_9B,3,test,R,127,1,656,391,R,1,820|546|1|<pressed>,1,1,506775,345
CONTROL_TS_9B,3,test,R,128,2,856,391,R,1,820|546|1|<pressed>,1,1,508275,595
CONTROL_TS_9B,3,test,R,129,1,656,391,R,1,820|546|1|<pressed>,1,1,509775,495
CONTROL_TS_9B,3,test,R,130,4,856,591,R,1,820|546|1|<pressed>,1,1,511275,345
CONTROL_TS_9B,3,test,R,131,2,856,391,R,1,820|545|1|<pressed>,1,1,512774,433
CONTROL_TS_9B,3,test,R,132,1,656,391,P,0,820|545|1|<pressed>,1,0,514275,312
CONTROL_TS_9B,3,test,R,133,4,856,591,R,1,820|545|1|<pressed>,1,1,515775,312
CONTROL_TS_9B,3,test,R,134,3,656,591,R,1,820|545|1|<pressed>,1,1,517276,361
CONTROL_TS_9B,3,test,R,135,4,856,591,R,1,820|545|1|<pressed>,1,1,518775,445
CONTROL_TS_9B,3,test,R,136,3,656,591,R,1,820|545|1|<pressed>,1,1,520275,466
CONTROL_TS_9B,3,test,R,137,3,656,591,R,1,820|545|1|<pressed>,1,1,521775,379
CONTROL_TS_9B,3,test,R,138,4,856,591,P,0,NONE,0,1,523275,1450
CONTROL_TS_9B,3,test,R,139,4,856,591,R,1,820|545|1|<pressed>,1,1,524775,445
CONTROL_TS_9B,3,test,R,140,1,656,391,R,1,820|545|1|<pressed>,1,1,526276,481
CONTROL_TS_9B,3,test,R,141,3,656,591,R,1,820|545|1|<pressed>,1,1,527775,378
CONTROL_TS_9B,3,test,R,142,3,656,591,R,1,820|545|1|<pressed>,1,1,529275,366
CONTROL_TS_9B,3,test,R,143,3,656,591,R,1,820|545|1|<pressed>,1,1,530775,399
CONTROL_TS_9B,3,test,R,144,1,656,391,R,1,820|545|1|<pressed>,1,1,532274,379
CONTROL_TS_9B,3,test,R,145,2,856,391,R,1,820|545|1|<pressed>,1,1,533774,363
CONTROL_TS_9B,3,test,R,146,3,656,591,P,0,820|545|1|<pressed>,1,0,535274,329
CONTROL_TS_9B,3,test,R,147,2,856,391,R,1,819|544|1|<pressed>,1,1,536775,345
CONTROL_TS_9B,3,test,R,148,4,856,591,R,1,819|544|1|<pressed>,1,1,538275,522
CONTROL_TS_9B,3,test,R,149,2,856,391,R,1,819|544|1|<pressed>,1,1,539775,565
CONTROL_TS_9B,3,test,R,150,2,856,391,P,0,NONE,0,1,541275,1450
CONTROL_TS_9B,3,test,R,151,3,656,591,R,1,819|544|1|<pressed>,1,1,542774,450
CONTROL_TS_9B,3,test,R,152,4,856,591,P,0,NONE,0,1,544275,1450
CONTROL_TS_9B,3,test,R,153,4,856,591,P,0,NONE,0,1,545774,1450
CONTROL_TS_9B,3,test,R,154,2,856,391,R,1,819|543|1|<pressed>,1,1,547274,363
CONTROL_TS_9B,3,test,R,155,4,856,591,R,1,819|543|1|<pressed>,1,1,548775,449
CONTROL_TS_9B,3,test,R,156,1,656,391,R,1,819|543|1|<pressed>,1,1,550275,411
CONTROL_TS_9B,3,test,R,157,4,856,591,P,0,NONE,0,1,551775,1450
CONTROL_TS_9B,3,test,R,158,3,656,591,R,1,819|543|1|<pressed>,1,1,553275,412
CONTROL_TS_9B,3,test,R,159,2,856,391,R,1,819|543|1|<pressed>,1,1,554774,433
CONTROL_TS_9B,3,test,R,160,4,856,591,R,1,819|543|1|<pressed>,1,1,556275,461
